,1,2,3,4,5
0,0.8220000000000001,0.4998,0.19699999999999995,0.061000000000000054,0.01959999999999995
1,0.8146,0.5028,0.24139999999999995,0.09819999999999995,0.03539999999999999
2,0.8072,0.4768,0.2398,0.09019999999999995,0.04239999999999999
3,0.7882,0.46220000000000006,0.22599999999999998,0.09540000000000004,0.03759999999999997
4,0.7762,0.45740000000000003,0.2258,0.09919999999999995,0.047799999999999954
5,0.781,0.44399999999999995,0.23419999999999996,0.11160000000000003,0.05379999999999996
6,0.7568,0.44899999999999995,0.23360000000000003,0.11260000000000003,0.05840000000000001
7,0.7624,0.42500000000000004,0.235,0.12380000000000002,0.056599999999999984
8,0.7518,0.41979999999999995,0.2278,0.12519999999999998,0.06259999999999999
9,0.7272000000000001,0.40380000000000005,0.23519999999999996,0.12639999999999996,0.06499999999999995
10,0.7296,0.41859999999999997,0.23340000000000005,0.12,0.07340000000000002
11,0.7222,0.4092,0.22960000000000003,0.1382,0.07279999999999998
12,0.7194,0.4162,0.248,0.13660000000000005,0.08360000000000001
13,0.7318,0.41159999999999997,0.262,0.14380000000000004,0.08399999999999996
14,0.7252000000000001,0.4486,0.25980000000000003,0.16379999999999995,0.09660000000000002
15,0.7192000000000001,0.43620000000000003,0.26439999999999997,0.17400000000000004,0.09840000000000004
16,0.7222,0.44120000000000004,0.269,0.16820000000000002,0.10880000000000001
17,0.7214,0.45020000000000004,0.2732,0.17259999999999998,0.10899999999999999
